"STATION","NAME","DATE","TAVG"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-21","49"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-22","44"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-23","45"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-24","49"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-25","54"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-26","57"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-27","60"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-28","58"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-29","61"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-30","64"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-10-31","58"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-01","60"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-02","51"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-03","44"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-04","35"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-05","35"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-06","36"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-07","33"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-08","42"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-09","48"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-10","54"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-11","39"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-12","41"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-13","47"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-14","50"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-15","42"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-16","47"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-17","43"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-18","48"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-19","49"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-20","39"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-21","34"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-22","44"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-23","55"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-24","44"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-25","45"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-26","48"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-27","48"
